# B. SIMPLE INORGANIC MOLECULES -- hydrides, oxides, oxoacids, halides
water | water | O | inorganic | solvent | universal | the reference solvent
hydrogen-peroxide | hydrogen peroxide | OO | inorganic | reagent | oxidation;bleaching | over-oxidation partner
ammonia | ammonia | N | inorganic | feedstock | haber;fertiliser;solvay | base and nucleophile
hydrazine | hydrazine | NN | inorganic | reagent | rocketry;wolff-kishner | reductant
hydroxylamine | hydroxylamine | NO | inorganic | reagent | oximes;caprolactam | oxime former
hydrogen-fluoride | hydrogen fluoride | F | inorganic | reagent | fluorination;etching | HF
hydrogen-chloride | hydrogen chloride | Cl | inorganic | reagent | chloralkali;acids | HCl gas
hydrogen-bromide | hydrogen bromide | Br | inorganic | reagent | halogenation | HBr
hydrogen-iodide | hydrogen iodide | I | inorganic | reagent | halogenation;reduction | HI
hydrogen-sulfide | hydrogen sulfide | S | inorganic | byproduct | sour-gas;claus | rotten-egg gas
hydrogen-cyanide | hydrogen cyanide | C#N | inorganic | reagent | andrussow;cyanohydrin | HCN
hydrogen-selenide | hydrogen selenide | [SeH2] | inorganic | byproduct | chalcogenides | toxic gas
phosphine | phosphine | P | inorganic | reagent | phosphorus;fumigation | PH3
arsine | arsine | [AsH3] | inorganic | byproduct | marsh-test | toxic gas
silane | silane | [SiH4] | inorganic | reagent | semiconductors | SiH4
borane | borane | B | inorganic | reagent | hydroboration | monomeric BH3
carbon-monoxide | carbon monoxide | [C-]#[O+] | inorganic | feedstock | syngas;oxo;water-gas | C1 building block
carbon-dioxide | carbon dioxide | O=C=O | inorganic | byproduct | combustion;solvay;kolbe | greenhouse gas
carbon-disulfide | carbon disulfide | S=C=S | inorganic | solvent | viscose;xanthate | flammable solvent
carbonyl-sulfide | carbonyl sulfide | O=C=S | inorganic | byproduct | claus;atmospheric | COS
carbon-suboxide | carbon suboxide | O=C=C=C=O | inorganic | transient | malonic-anhydride | C3O2
cyanogen | cyanogen | N#CC#N | inorganic | reagent | cyanide-chemistry | dicyanogen
cyanogen-chloride | cyanogen chloride | ClC#N | inorganic | intermediate | cyanuric-chloride | trimerises
cyanamide | cyanamide | NC#N | inorganic | intermediate | fertiliser;guanidine | from calcium cyanamide
nitric-oxide | nitric oxide | [N]=O | inorganic | intermediate | lead-chamber;ostwald | NOx carrier
nitrogen-dioxide | nitrogen dioxide | [O-][N+]=O | inorganic | intermediate | lead-chamber;ostwald | NOx carrier
dinitrogen-tetroxide | dinitrogen tetroxide | O=[N+]([O-])[N+](=O)[O-] | inorganic | reagent | rocketry;nitration | N2O4
nitrous-oxide | nitrous oxide | [N-]=[N+]=O | inorganic | product | anaesthesia;propellant | laughing gas
dinitrogen-trioxide | dinitrogen trioxide | O=N[N+](=O)[O-] | inorganic | transient | nitrosation | N2O3
dinitrogen-pentoxide | dinitrogen pentoxide | [O-][N+](=O)O[N+](=O)[O-] | inorganic | reagent | nitration | N2O5
nitric-acid | nitric acid | O[N+](=O)[O-] | inorganic | reagent | nitration;ostwald | aqua fortis
nitrous-acid | nitrous acid | ON=O | inorganic | intermediate | diazotisation | unstable in isolation
sulfur-dioxide | sulfur dioxide | O=S=O | inorganic | intermediate | lead-chamber;contact | roaster gas
sulfur-trioxide | sulfur trioxide | O=S(=O)=O | inorganic | intermediate | contact;sulfonation | oleum precursor
sulfuric-acid | sulfuric acid | OS(=O)(=O)O | inorganic | reagent | lead-chamber;contact;nitration | oil of vitriol
sulfurous-acid | sulfurous acid | OS(=O)O | inorganic | intermediate | bisulfite-chemistry | SO2 in water
disulfuric-acid | disulfuric acid (oleum) | OS(=O)(=O)OS(=O)(=O)O | inorganic | reagent | sulfonation;contact | fuming sulfuric acid
peroxymonosulfuric-acid | peroxymonosulfuric acid | OOS(=O)(=O)O | inorganic | reagent | oxidation;baeyer-villiger | Caro acid
peroxydisulfuric-acid | peroxydisulfuric acid | OS(=O)(=O)OOS(=O)(=O)O | inorganic | reagent | persulfate-oxidation | Marshall acid
