# C. SALTS, MINERALS AND IONIC SOLIDS -- written as dissociated ion pairs, the convention in properties/electrolyte
sodium-chloride | sodium chloride | [Na+].[Cl-] | salt | feedstock | chloralkali;solvay;alchemy | rock salt
potassium-chloride | potassium chloride | [K+].[Cl-] | salt | feedstock | fertiliser | sylvite
ammonium-chloride | ammonium chloride | [NH4+].[Cl-] | salt | reagent | solvay;fluxing;alchemy | sal ammoniac
calcium-chloride | calcium chloride | [Ca+2].[Cl-].[Cl-] | salt | byproduct | solvay;drying | deliquescent
magnesium-chloride | magnesium chloride | [Mg+2].[Cl-].[Cl-] | salt | feedstock | seawater;magnesium | bischofite
sodium-hydroxide | sodium hydroxide | [Na+].[OH-] | salt | reagent | chloralkali;leblanc;saponification | caustic soda
potassium-hydroxide | potassium hydroxide | [K+].[OH-] | salt | reagent | soap;electrolyte | caustic potash
calcium-hydroxide | calcium hydroxide | [Ca+2].[OH-].[OH-] | salt | reagent | mortar;solvay;liming | slaked lime
ammonium-hydroxide | ammonia solution | [NH4+].[OH-] | salt | reagent | cleaning;precipitation | aqueous ammonia
sodium-carbonate | sodium carbonate | [Na+].[Na+].[O-]C([O-])=O | salt | product | solvay;leblanc;glass | soda ash
sodium-bicarbonate | sodium bicarbonate | [Na+].OC([O-])=O | salt | intermediate | solvay;baking | baking soda
potassium-carbonate | potassium carbonate | [K+].[K+].[O-]C([O-])=O | salt | reagent | glass;soap | potash
calcium-carbonate | calcium carbonate | [Ca+2].[O-]C([O-])=O | mineral | feedstock | lime;solvay;cement | calcite / limestone
magnesium-carbonate | magnesium carbonate | [Mg+2].[O-]C([O-])=O | mineral | feedstock | magnesia | magnesite
ammonium-carbonate | ammonium carbonate | [NH4+].[NH4+].[O-]C([O-])=O | salt | reagent | smelling-salts;baking | hartshorn
ammonium-bicarbonate | ammonium bicarbonate | [NH4+].OC([O-])=O | salt | intermediate | solvay | ammonium hydrogencarbonate
sodium-sulfate | sodium sulfate | [Na+].[Na+].[O-]S([O-])(=O)=O | salt | byproduct | leblanc;glass;drying | Glauber salt
sodium-bisulfate | sodium bisulfate | [Na+].OS([O-])(=O)=O | salt | byproduct | leblanc;pickling | niter cake
potassium-sulfate | potassium sulfate | [K+].[K+].[O-]S([O-])(=O)=O | salt | product | fertiliser | arcanite
ammonium-sulfate | ammonium sulfate | [NH4+].[NH4+].[O-]S([O-])(=O)=O | salt | product | fertiliser;caprolactam | mascagnite
calcium-sulfate | calcium sulfate | [Ca+2].[O-]S([O-])(=O)=O | mineral | byproduct | gypsum;plaster;phosphoric | anhydrite
copper-ii-sulfate | copper(II) sulfate | [Cu+2].[O-]S([O-])(=O)=O | salt | reagent | electroplating;fungicide | blue vitriol
iron-ii-sulfate | iron(II) sulfate | [Fe+2].[O-]S([O-])(=O)=O | salt | feedstock | ink;vitriol-distillation | green vitriol
iron-iii-sulfate | iron(III) sulfate | [Fe+3].[Fe+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O | salt | reagent | coagulation | ferric sulfate
zinc-sulfate | zinc sulfate | [Zn+2].[O-]S([O-])(=O)=O | salt | reagent | galvanising | white vitriol
aluminium-sulfate | aluminium sulfate | [Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O | salt | reagent | papermaking;water-treatment | papermaker alum
potash-alum | potassium aluminium sulfate | [K+].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O | salt | product | dyeing;tanning;alchemy | alum
sodium-sulfite | sodium sulfite | [Na+].[Na+].[O-]S([O-])=O | salt | reagent | pulping;antioxidant | reducing agent
sodium-bisulfite | sodium bisulfite | [Na+].OS([O-])=O | salt | reagent | bisulfite-adduct;bleaching | aldehyde scavenger
sodium-metabisulfite | sodium metabisulfite | [Na+].[Na+].[O-]S(=O)S([O-])(=O)=O | salt | reagent | preservative | Na2S2O5
sodium-thiosulfate | sodium thiosulfate | [Na+].[Na+].[O-]S([O-])(=O)=S | salt | reagent | photography;iodometry | hypo
sodium-dithionite | sodium dithionite | [Na+].[Na+].[O-]S(=O)S([O-])=O | salt | reagent | vat-dyeing;reduction | hydrosulfite
sodium-sulfide | sodium sulfide | [Na+].[Na+].[S-2] | salt | reagent | leblanc;tanning;kraft | black ash product
sodium-hydrosulfide | sodium hydrosulfide | [Na+].[SH-] | salt | reagent | thiol-synthesis | NaSH
calcium-sulfide | calcium sulfide | [Ca+2].[S-2] | salt | byproduct | leblanc | galligu waste
iron-ii-sulfide | iron(II) sulfide | [Fe+2].[S-2] | mineral | feedstock | h2s-generation | troilite
iron-disulfide | pyrite | [Fe+2].[S-]S[S-] | mineral | feedstock | vitriol;sulfuric-acid | fool gold
zinc-sulfide | zinc sulfide | [Zn+2].[S-2] | mineral | feedstock | zinc-smelting;phosphors | sphalerite
lead-sulfide | lead sulfide | [Pb+2].[S-2] | mineral | feedstock | lead-smelting | galena
copper-sulfide | copper(II) sulfide | [Cu+2].[S-2] | mineral | feedstock | copper-smelting | covellite
mercury-sulfide | mercury(II) sulfide | [Hg+2].[S-2] | mineral | feedstock | mercury;pigment | cinnabar / vermilion
sodium-nitrate | sodium nitrate | [Na+].[O-][N+]([O-])=O | mineral | feedstock | nitric-acid;fertiliser;gunpowder | Chile saltpetre
potassium-nitrate | potassium nitrate | [K+].[O-][N+]([O-])=O | mineral | feedstock | gunpowder;curing | saltpetre
ammonium-nitrate | ammonium nitrate | [NH4+].[O-][N+]([O-])=O | salt | product | fertiliser;explosives | ANFO oxidiser
calcium-nitrate | calcium nitrate | [Ca+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O | salt | product | fertiliser | Norwegian saltpetre
silver-nitrate | silver nitrate | [Ag+].[O-][N+]([O-])=O | salt | reagent | photography;tollens | lunar caustic
sodium-nitrite | sodium nitrite | [Na+].[O-]N=O | salt | reagent | diazotisation;curing | NaNO2
potassium-nitrite | potassium nitrite | [K+].[O-]N=O | salt | reagent | diazotisation | KNO2
sodium-phosphate | trisodium phosphate | [Na+].[Na+].[Na+].[O-]P([O-])([O-])=O | salt | product | detergent;cleaning | TSP
disodium-phosphate | disodium hydrogen phosphate | [Na+].[Na+].OP([O-])([O-])=O | salt | reagent | buffer;food | Na2HPO4
monosodium-phosphate | monosodium phosphate | [Na+].OP(O)([O-])=O | salt | reagent | buffer | NaH2PO4
