# F. ALCOHOLS, POLYOLS, PHENOLS, ETHERS AND EPOXIDES
methanol | methanol | CO | alcohol | feedstock | syngas;wood-distillation;mtbe | wood spirit
ethanol | ethanol | CCO | alcohol | feedstock | fermentation;hydration;solvent | spirit of wine
1-propanol | 1-propanol | CCCO | alcohol | solvent | oxo-process;fusel | n-propanol
2-propanol | 2-propanol | CC(C)O | alcohol | solvent | propylene-hydration;acetone | isopropanol / IPA
1-butanol | 1-butanol | CCCCO | alcohol | solvent | abe-fermentation;oxo | n-butanol
2-butanol | 2-butanol | CCC(C)O | alcohol | solvent | mek-precursor | sec-butanol
isobutanol | 2-methyl-1-propanol | CC(C)CO | alcohol | solvent | oxo-process;fusel | isobutyl alcohol
tert-butanol | 2-methyl-2-propanol | CC(C)(C)O | alcohol | solvent | mtbe;tertiary-model | refuses oxidation
1-pentanol | 1-pentanol | CCCCCO | alcohol | solvent | esters;fusel | amyl alcohol
isoamyl-alcohol | 3-methyl-1-butanol | CC(C)CCO | alcohol | feedstock | fusel-oil;banana-ester | isopentanol
1-hexanol | 1-hexanol | CCCCCCO | alcohol | intermediate | plasticisers | C6 alcohol
2-ethylhexanol | 2-ethyl-1-hexanol | CCCCC(CC)CO | alcohol | intermediate | dop-plasticiser;oxo | aldol-oxo product
1-octanol | 1-octanol | CCCCCCCCO | alcohol | reference | logp-standard;surfactants | partition reference
1-decanol | 1-decanol | CCCCCCCCCCO | alcohol | intermediate | surfactants | fatty alcohol
1-dodecanol | 1-dodecanol | CCCCCCCCCCCCO | alcohol | intermediate | sls;surfactants | lauryl alcohol
cetyl-alcohol | 1-hexadecanol | CCCCCCCCCCCCCCCCO | alcohol | product | emollient;spermaceti | cetyl alcohol
stearyl-alcohol | 1-octadecanol | CCCCCCCCCCCCCCCCCCO | alcohol | product | emollient | stearyl alcohol
allyl-alcohol | 2-propen-1-ol | OCC=C | alcohol | intermediate | glycerol;epichlorohydrin | allylic alcohol
propargyl-alcohol | 2-propyn-1-ol | OCC#C | alcohol | reagent | corrosion-inhibitor | alkynol
cyclohexanol | cyclohexanol | OC1CCCCC1 | alcohol | intermediate | adipic-acid;nylon | KA oil component
cyclopentanol | cyclopentanol | OC1CCCC1 | alcohol | intermediate | fine-chemicals | C5 cyclic alcohol
benzyl-alcohol | benzyl alcohol | OCc1ccccc1 | alcohol | solvent | fragrance;preservative | benzylic alcohol
1-phenylethanol | 1-phenylethanol | CC(O)c1ccccc1 | alcohol | intermediate | styrene-co-product | secondary benzylic
