# G. ALDEHYDES, KETONES, QUINONES
formaldehyde | methanal | C=O | aldehyde | intermediate | bakelite;methanol-oxidation;urea-resin | formalin
acetaldehyde | ethanal | CC=O | aldehyde | intermediate | wacker;ethanol-oxidation;acetic-acid | the classic intermediate
propionaldehyde | propanal | CCC=O | aldehyde | intermediate | oxo-process;propanol | propanal
butyraldehyde | butanal | CCCC=O | aldehyde | intermediate | oxo-process;2-ethylhexanol | n-butanal
isobutyraldehyde | 2-methylpropanal | CC(C)C=O | aldehyde | byproduct | oxo-process | branched oxo product
valeraldehyde | pentanal | CCCCC=O | aldehyde | intermediate | oxo-process | n-pentanal
hexanal | hexanal | CCCCCC=O | aldehyde | product | flavour;lipid-oxidation | grassy note
heptanal | heptanal | CCCCCCC=O | aldehyde | product | fragrance | from castor oil
octanal | octanal | CCCCCCCC=O | aldehyde | product | fragrance;citrus | C8 aldehyde
decanal | decanal | CCCCCCCCCC=O | aldehyde | product | fragrance;citrus | C10 aldehyde
dodecanal | dodecanal | CCCCCCCCCCCC=O | aldehyde | product | fragrance | lauric aldehyde
acrolein | 2-propenal | C=CC=O | aldehyde | intermediate | acrylic-acid;glycerol-dehydration | lachrymator
methacrolein | methacrolein | CC(=C)C=O | aldehyde | intermediate | methacrylic-acid | alpha-methylacrolein
crotonaldehyde | 2-butenal | C/C=C/C=O | aldehyde | intermediate | aldol-condensation;butanol | from acetaldehyde
glyoxal | ethanedial | O=CC=O | aldehyde | intermediate | crosslinker;glyoxylic-acid | dialdehyde
glutaraldehyde | pentanedial | O=CCCCC=O | aldehyde | reagent | disinfectant;fixative | dialdehyde
malondialdehyde | propanedial | O=CCC=O | aldehyde | byproduct | lipid-peroxidation-marker | MDA
glycolaldehyde | glycolaldehyde | OCC=O | aldehyde | intermediate | formose;sugar-chemistry | simplest sugar
glyceraldehyde | D-glyceraldehyde | OC[C@@H](O)C=O | aldehyde | intermediate | sugar-chemistry;chirality-reference | triose
benzaldehyde | benzaldehyde | O=Cc1ccccc1 | aldehyde | intermediate | almond;cinnamaldehyde;mandelonitrile | oil of bitter almonds
salicylaldehyde | 2-hydroxybenzaldehyde | O=Cc1ccccc1O | aldehyde | intermediate | coumarin;chelators | reimer-tiemann product
4-methylbenzaldehyde | para-tolualdehyde | Cc1ccc(C=O)cc1 | aldehyde | intermediate | fragrance | tolualdehyde
anisaldehyde | 4-methoxybenzaldehyde | COc1ccc(C=O)cc1 | aldehyde | product | fragrance;stain | hawthorn note
piperonal | piperonal | O=Cc1ccc2OCOc2c1 | aldehyde | product | fragrance;heliotrope | from safrole
cinnamaldehyde | trans-cinnamaldehyde | O=C/C=C/c1ccccc1 | aldehyde | product | cinnamon;perkin | aryl enal
furfural | 2-furaldehyde | O=Cc1ccco1 | aldehyde | feedstock | pentosan-hydrolysis;furan-chemistry | from bran
5-hydroxymethylfurfural | 5-HMF | OCc1ccc(C=O)o1 | aldehyde | intermediate | biomass-platform;fdca | HMF
2-ethylhexenal | 2-ethyl-2-hexenal | CCC/C=C(\CC)C=O | aldehyde | intermediate | 2-ethylhexanol | aldol product
citral | citral | CC(C)=CCC/C(C)=C/C=O | aldehyde | product | lemon;vitamin-a | geranial/neral
citronellal | citronellal | CC(CCC=C(C)C)CC=O | aldehyde | product | fragrance;menthol-synthesis | terpene aldehyde
acetone | propanone | CC(C)=O | ketone | solvent | cumene;fermentation;isopropanol | dimethyl ketone
butanone | 2-butanone | CCC(C)=O | ketone | solvent | mek;coatings | MEK
2-pentanone | 2-pentanone | CCCC(C)=O | ketone | solvent | esters | methyl propyl ketone
3-pentanone | 3-pentanone | CCC(=O)CC | ketone | solvent | fine-chemicals | diethyl ketone
methyl-isobutyl-ketone | 4-methyl-2-pentanone | CC(C)CC(C)=O | ketone | solvent | coatings;extraction | MIBK
mesityl-oxide | mesityl oxide | CC(C)=CC(C)=O | ketone | intermediate | mibk;aldol | acetone aldol dehydration
diacetone-alcohol | diacetone alcohol | CC(C)(O)CC(C)=O | ketone | intermediate | mibk;solvent | acetone aldol
phorone | phorone | CC(C)=CC(=O)C=C(C)C | ketone | byproduct | acetone-condensation | triacetone
isophorone | isophorone | CC1=CC(=O)CC(C)(C)C1 | ketone | solvent | coatings;ipda | cyclic aldol trimer
cyclohexanone | cyclohexanone | O=C1CCCCC1 | ketone | intermediate | caprolactam;adipic-acid | KA oil component
cyclopentanone | cyclopentanone | O=C1CCCC1 | ketone | intermediate | fragrance;jasmone | C5 cyclic ketone
