# J. ORGANOSULFUR, ORGANOPHOSPHORUS, ORGANOBORON, ORGANOSILICON
methanethiol | methanethiol | CS | thiol | intermediate | methionine;odorant | mercaptan
ethanethiol | ethanethiol | CCS | thiol | reagent | odorant;demethylation | ethyl mercaptan
1-propanethiol | 1-propanethiol | CCCS | thiol | reagent | odorant | propyl mercaptan
1-butanethiol | 1-butanethiol | CCCCS | thiol | product | skunk-odorant | butyl mercaptan
tert-butylthiol | 2-methyl-2-propanethiol | CC(C)(C)S | thiol | reagent | gas-odorant | TBM
1-dodecanethiol | 1-dodecanethiol | CCCCCCCCCCCCS | thiol | reagent | chain-transfer-agent;saMs | lauryl mercaptan
thiophenol | benzenethiol | Sc1ccccc1 | thiol | reagent | thioethers | aryl thiol
2-mercaptoethanol | 2-mercaptoethanol | OCCS | thiol | reagent | disulfide-reduction | BME
thioglycolic-acid | mercaptoacetic acid | OC(=O)CS | thiol | reagent | permanent-wave;depilatory | TGA
dithiothreitol | dithiothreitol | OC(CS)C(O)CS | thiol | reagent | disulfide-reduction | DTT / Cleland reagent
dimethyl-sulfide | dimethyl sulfide | CSC | thioether | product | marine-odour;oxidation | DMS
diethyl-sulfide | diethyl sulfide | CCSCC | thioether | reagent | ligand | DES
thioanisole | methyl phenyl sulfide | CSc1ccccc1 | thioether | reagent | sulfoxide-chemistry | aryl thioether
dimethyl-disulfide | dimethyl disulfide | CSSC | disulfide | reagent | sulfiding-agent | DMDS
diphenyl-disulfide | diphenyl disulfide | c1ccc(SSc2ccccc2)cc1 | disulfide | reagent | thiolation | PhSSPh
dimethyl-sulfoxide | dimethyl sulfoxide | CS(C)=O | sulfoxide | solvent | polar-aprotic;swern | DMSO
diphenyl-sulfoxide | diphenyl sulfoxide | O=S(c1ccccc1)c1ccccc1 | sulfoxide | reagent | oxidation-model | aryl sulfoxide
dimethyl-sulfone | dimethyl sulfone | CS(C)(=O)=O | sulfone | product | msm-supplement;solvent | MSM
sulfolane | tetrahydrothiophene-1,1-dioxide | O=S1(=O)CCCC1 | sulfone | solvent | aromatics-extraction;gas-treating | sulfolane
diphenyl-sulfone | diphenyl sulfone | O=S(=O)(c1ccccc1)c1ccccc1 | sulfone | intermediate | pes-polymer | aryl sulfone
methanesulfonic-acid | methanesulfonic acid | CS(=O)(=O)O | sulfonic-acid | reagent | catalysis;electroplating | MSA
ethanesulfonic-acid | ethanesulfonic acid | CCS(=O)(=O)O | sulfonic-acid | reagent | catalysis | ESA
benzenesulfonic-acid | benzenesulfonic acid | OS(=O)(=O)c1ccccc1 | sulfonic-acid | intermediate | phenol-fusion;detergents | BSA
p-toluenesulfonic-acid | para-toluenesulfonic acid | Cc1ccc(S(=O)(=O)O)cc1 | sulfonic-acid | catalyst | esterification;acetal-formation | pTSA
dodecylbenzenesulfonic-acid | dodecylbenzenesulfonic acid | CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1 | sulfonic-acid | intermediate | detergent | DBSA
naphthalene-2-sulfonic-acid | naphthalene-2-sulfonic acid | OS(=O)(=O)c1ccc2ccccc2c1 | sulfonic-acid | intermediate | beta-naphthol;dyes | beta sulfonic acid
methanesulfonyl-chloride | methanesulfonyl chloride | CS(=O)(=O)Cl | sulfonyl-halide | reagent | mesylation | MsCl
p-toluenesulfonyl-chloride | tosyl chloride | Cc1ccc(S(=O)(=O)Cl)cc1 | sulfonyl-halide | reagent | tosylation | TsCl
benzenesulfonyl-chloride | benzenesulfonyl chloride | O=S(=O)(Cl)c1ccccc1 | sulfonyl-halide | reagent | hinsberg-test | PhSO2Cl
methyl-tosylate | methyl para-toluenesulfonate | COS(=O)(=O)c1ccc(C)cc1 | ester | reagent | methylation | good leaving group
dimethyl-sulfate | dimethyl sulfate | COS(=O)(=O)OC | ester | reagent | methylation | DMS toxic methylator
diethyl-sulfate | diethyl sulfate | CCOS(=O)(=O)OCC | ester | reagent | ethylation | DES
saccharin | saccharin | O=C1NS(=O)(=O)c2ccccc21 | sulfonamide | product | sweetener | from toluene
