# K. HETEROCYCLES -- five- and six-membered, fused, and their key substituted members
furan | furan | c1ccoc1 | heterocycle | intermediate | furfural-decarbonylation;thf | oxygen five-ring
2-methylfuran | 2-methylfuran | Cc1ccco1 | heterocycle | intermediate | biomass;sylvan | methylfuran
2,5-dimethylfuran | 2,5-dimethylfuran | Cc1ccc(C)o1 | heterocycle | product | biofuel-candidate | DMF fuel
benzofuran | benzofuran | c1ccc2occc2c1 | heterocycle | feedstock | coumarone-resins;coal-tar | coumarone
dibenzofuran | dibenzofuran | c1ccc2c(c1)oc1ccccc12 | heterocycle | byproduct | coal-tar;dioxin-family | DBF
thiophene | thiophene | c1ccsc1 | heterocycle | feedstock | pedot;pharma;benzene-contaminant | sulfur five-ring
2-methylthiophene | 2-methylthiophene | Cc1cccs1 | heterocycle | intermediate | fine-chemicals | methylthiophene
benzothiophene | benzothiophene | c1ccc2sccc2c1 | heterocycle | feedstock | coal-tar;pharma | BT
dibenzothiophene | dibenzothiophene | c1ccc2c(c1)sc1ccccc12 | heterocycle | byproduct | hydrodesulfurisation-target | DBT
edot | 3,4-ethylenedioxythiophene | c1csc2c1OCCO2 | heterocycle | monomer | pedot;conducting-polymer | EDOT
pyrrole | 1H-pyrrole | c1cc[nH]c1 | heterocycle | intermediate | porphyrins;pharma | nitrogen five-ring
n-methylpyrrole | 1-methylpyrrole | Cn1cccc1 | heterocycle | reagent | fine-chemicals | N-methylated
indole | 1H-indole | c1ccc2[nH]ccc2c1 | heterocycle | intermediate | tryptophan;indigo;fragrance | benzopyrrole
3-methylindole | skatole | Cc1c[nH]c2ccccc12 | heterocycle | product | faecal-odour;fragrance | skatole
indoline | indoline | C1Cc2ccccc2N1 | heterocycle | intermediate | dye-synthesis | dihydroindole
isatin | 1H-indole-2,3-dione | O=C1Nc2ccccc2C1=O | heterocycle | intermediate | indigo;pfitzinger | isatin
oxindole | 2-oxindole | O=C1Cc2ccccc2N1 | heterocycle | intermediate | pharma | oxindole
carbazole | 9H-carbazole | c1ccc2c(c1)[nH]c1ccccc12 | heterocycle | feedstock | coal-tar;dyes;oled | carbazole
imidazole | 1H-imidazole | c1c[nH]cn1 | heterocycle | reagent | histidine;buffers;catalysis | 1,3-diazole
n-methylimidazole | 1-methylimidazole | Cn1ccnc1 | heterocycle | reagent | ionic-liquids;catalysis | NMI
benzimidazole | 1H-benzimidazole | c1ccc2[nH]cnc2c1 | heterocycle | intermediate | omeprazole;fungicides | BZI
pyrazole | 1H-pyrazole | c1cn[nH]c1 | heterocycle | intermediate | pharma;agrochemicals | 1,2-diazole
indazole | 1H-indazole | c1ccc2[nH]ncc2c1 | heterocycle | intermediate | pharma | benzopyrazole
oxazole | 1,3-oxazole | c1cocn1 | heterocycle | intermediate | pharma | O-N five-ring
isoxazole | 1,2-oxazole | c1cc[nH0]o1 | heterocycle | intermediate | pharma;agrochemicals | O-N five-ring
benzoxazole | 1,3-benzoxazole | c1ccc2ocnc2c1 | heterocycle | intermediate | optical-brighteners | BO
thiazole | 1,3-thiazole | c1cscn1 | heterocycle | intermediate | thiamine;pharma | S-N five-ring
benzothiazole | 1,3-benzothiazole | c1ccc2scnc2c1 | heterocycle | intermediate | rubber-accelerators;luciferin | BTZ
2-mercaptobenzothiazole | 2-mercaptobenzothiazole | Sc1nc2ccccc2s1 | heterocycle | reagent | vulcanisation-accelerator | MBT
1,2,4-triazole | 1H-1,2,4-triazole | c1nc[nH]n1 | heterocycle | intermediate | fungicides;pharma | triazole
tetrazole | 1H-tetrazole | c1nnn[nH]1 | heterocycle | intermediate | pharma-bioisostere | carboxylic acid bioisostere
1,2,3-triazole | 1H-1,2,3-triazole | c1cn[nH]n1 | heterocycle | product | click-chemistry | CuAAC product
furazan | 1,2,5-oxadiazole | c1cnon1 | heterocycle | intermediate | energetic-materials | oxadiazole
pyridine | pyridine | c1ccncc1 | heterocycle | solvent | coal-tar;chichibabin;base | azine
2-picoline | 2-methylpyridine | Cc1ccccn1 | heterocycle | intermediate | vinylpyridine;nicotinic-acid | alpha picoline
3-picoline | 3-methylpyridine | Cc1cccnc1 | heterocycle | intermediate | niacin;nicotine | beta picoline
4-picoline | 4-methylpyridine | Cc1ccncc1 | heterocycle | intermediate | isoniazid | gamma picoline
2,6-lutidine | 2,6-dimethylpyridine | Cc1cccc(C)n1 | heterocycle | reagent | hindered-base | lutidine
dmap | 4-dimethylaminopyridine | CN(C)c1ccncc1 | heterocycle | catalyst | acylation-catalysis | DMAP
nicotinic-acid | pyridine-3-carboxylic acid | OC(=O)c1cccnc1 | heterocycle | product | vitamin-b3 | niacin
isonicotinic-acid | pyridine-4-carboxylic acid | OC(=O)c1ccncc1 | heterocycle | intermediate | isoniazid | INA
nicotinamide | nicotinamide | NC(=O)c1cccnc1 | heterocycle | product | vitamin-b3;nad | niacinamide
2-aminopyridine | 2-aminopyridine | Nc1ccccn1 | heterocycle | intermediate | chichibabin-product;pharma | 2-AP
2-chloropyridine | 2-chloropyridine | Clc1ccccn1 | heterocycle | intermediate | agrochemicals | 2-CP
pyridine-n-oxide | pyridine N-oxide | [O-][n+]1ccccc1 | heterocycle | intermediate | activation-for-snar | N-oxide
piperidine-ring | piperidine (saturated azine) | C1CCNCC1 | heterocycle | reference | pyridine-hydrogenation-product | see amines
quinoline | quinoline | c1ccc2ncccc2c1 | heterocycle | feedstock | coal-tar;skraup;antimalarials | benzopyridine
isoquinoline | isoquinoline | c1ccc2cnccc2c1 | heterocycle | feedstock | coal-tar;alkaloids | benzopyridine
8-hydroxyquinoline | 8-hydroxyquinoline | Oc1cccc2cccnc12 | heterocycle | reagent | chelation;antiseptic | oxine
quinaldine | 2-methylquinoline | Cc1ccc2ccccc2n1 | heterocycle | intermediate | cyanine-dyes | quinaldine
acridine | acridine | c1ccc2nc3ccccc3cc2c1 | heterocycle | feedstock | coal-tar;dyes;intercalators | dibenzopyridine
pyrimidine | 1,3-diazine | c1cncnc1 | heterocycle | intermediate | nucleobases;barbiturates | 1,3-diazine
pyrazine | 1,4-diazine | c1cnccn1 | heterocycle | intermediate | flavour;pyrazinamide | 1,4-diazine
pyridazine | 1,2-diazine | c1ccnnc1 | heterocycle | intermediate | pharma | 1,2-diazine
2-methylpyrazine | 2-methylpyrazine | Cc1cnccn1 | heterocycle | product | roast-flavour | maillard product
quinoxaline | quinoxaline | c1ccc2nccnc2c1 | heterocycle | intermediate | dyes;pharma | benzopyrazine
1,3,5-triazine | 1,3,5-triazine | c1ncncn1 | heterocycle | intermediate | melamine;herbicides | s-triazine
purine | 9H-purine | c1ncc2[nH]cnc2n1 | heterocycle | intermediate | nucleobases | fused diazine-imidazole
pteridine | pteridine | c1cnc2ncncc2n1 | heterocycle | intermediate | folate;pterins | bicyclic
pyran | 2H-pyran | C1=COC=CC1 | heterocycle | reference | sugar-ring-model | oxygen six-ring
4h-chromene | 4H-chromene | C1Oc2ccccc2C=C1 | heterocycle | intermediate | flavonoids | benzopyran
chromone | 4H-chromen-4-one | O=c1ccoc2ccccc12 | heterocycle | intermediate | flavonoids | benzopyranone
flavone | 2-phenylchromen-4-one | O=c1cc(-c2ccccc2)oc2ccccc12 | heterocycle | product | plant-pigment | flavonoid core
xanthene | 9H-xanthene | C1c2ccccc2Oc2ccccc21 | heterocycle | intermediate | fluorescein;dyes | xanthene core
xanthone | 9H-xanthen-9-one | O=c1c2ccccc2oc2ccccc12 | heterocycle | product | natural-product | xanthone
dibenzo-p-dioxin | dibenzo-p-dioxin | c1ccc2Oc3ccccc3Oc2c1 | heterocycle | byproduct | combustion;dioxin-parent | parent dioxin
morpholine-ring | morpholine (saturated) | C1COCCN1 | heterocycle | reference | see-amines | oxazinane
thiomorpholine | thiomorpholine | C1CSCCN1 | heterocycle | intermediate | pharma | S analogue
tetrahydrothiophene | tetrahydrothiophene | C1CCSC1 | heterocycle | reagent | odorant;sulfolane-precursor | THT
oxetane | oxetane | C1COC1 | heterocycle | intermediate | strained-ether;pharma | four-ring ether
azetidine | azetidine | C1CNC1 | heterocycle | intermediate | pharma | four-ring amine
aziridine | aziridine | C1CN1 | heterocycle | reagent | alkylating;polymer | ethyleneimine
thiirane | thiirane | C1CS1 | heterocycle | reagent | episulfide | ethylene sulfide
beta-lactam-core | azetidin-2-one | O=C1CCN1 | heterocycle | intermediate | penicillin-core | the beta-lactam
barbituric-acid | barbituric acid | O=C1CC(=O)NC(=O)N1 | heterocycle | intermediate | barbiturates | malonylurea
uracil | uracil | O=c1cc[nH]c(=O)[nH]1 | nucleobase | product | rna-base | pyrimidine base
thymine | thymine | Cc1c[nH]c(=O)[nH]c1=O | nucleobase | product | dna-base | 5-methyluracil
cytosine | cytosine | Nc1cc[nH]c(=O)n1 | nucleobase | product | dna-rna-base | pyrimidine base
