# L. BIOMOLECULES -- sugars, amino acids, lipids, vitamins, alkaloids, natural products
formaldehyde-hydrate | methanediol | OCO | sugar | transient | formose;formalin | hydrated formaldehyde
glyceraldehyde-3-phosphate | glyceraldehyde 3-phosphate | O=C[C@H](O)COP(=O)(O)O | sugar | intermediate | glycolysis | G3P
dihydroxyacetone-phosphate | dihydroxyacetone phosphate | OCC(=O)COP(=O)(O)O | sugar | intermediate | glycolysis | DHAP
erythrose | D-erythrose | OC[C@@H](O)[C@H](O)C=O | sugar | intermediate | pentose-phosphate | tetrose
ribose | D-ribose | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O | sugar | feedstock | rna;nucleotides | pentose
deoxyribose | 2-deoxy-D-ribose | OC[C@H]1O[C@@H](O)C[C@@H]1O | sugar | feedstock | dna | pentose
xylose | D-xylose | OC[C@@H]1O[C@@H](O)[C@H](O)[C@@H]1O | sugar | feedstock | hemicellulose;furfural;xylitol | wood sugar
arabinose | L-arabinose | OC[C@H]1O[C@H](O)[C@H](O)[C@H]1O | sugar | feedstock | pectin;hemicellulose | pentose
glucose | D-glucose | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O | sugar | feedstock | starch;fermentation;photosynthesis | dextrose
fructose | D-fructose | OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O | sugar | feedstock | hfcs;honey;hmf | levulose
galactose | D-galactose | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O | sugar | feedstock | lactose | epimer of glucose
mannose | D-mannose | OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O | sugar | feedstock | glycoproteins | epimer of glucose
sucrose | sucrose | OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O | sugar | feedstock | cane;beet;invertase | table sugar
lactose | lactose | OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O | sugar | feedstock | milk;fermentation | milk sugar
maltose | maltose | OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O | sugar | intermediate | starch-hydrolysis;brewing | malt sugar
cellobiose | cellobiose | OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O | sugar | intermediate | cellulose-hydrolysis | beta-linked dimer
trehalose | trehalose | OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O | sugar | product | cryoprotectant;fungi | non-reducing
raffinose | raffinose | OC[C@H]1O[C@H](OC[C@H]2O[C@@](CO)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O | sugar | product | beet-molasses | trisaccharide
cellulose-unit | cellulose repeat unit | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O | polysaccharide | feedstock | paper;viscose;nitrocellulose | anhydroglucose unit
starch-unit | amylose repeat unit | OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O | polysaccharide | feedstock | food;glucose-syrup | alpha-glucan unit
chitin-unit | chitin repeat unit | CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O | polysaccharide | feedstock | shellfish;chitosan | N-acetylglucosamine
glucosamine | D-glucosamine | N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O | sugar | product | supplement;chitin-hydrolysis | amino sugar
glucuronic-acid | D-glucuronic acid | O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O | sugar | intermediate | detoxification;vitamin-c | uronic acid
gluconic-acid | D-gluconic acid | OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O | sugar | product | fermentation;chelation | aldonic acid
n-acetylglucosamine | N-acetylglucosamine | CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O | sugar | intermediate | glycobiology | GlcNAc
glycine | glycine | NCC(=O)O | amino-acid | product | strecker;chloroacetic-route;glyphosate | Gly
alanine | L-alanine | C[C@H](N)C(=O)O | amino-acid | product | fermentation;strecker | Ala
valine | L-valine | CC(C)[C@H](N)C(=O)O | amino-acid | product | fermentation | Val
leucine | L-leucine | CC(C)C[C@H](N)C(=O)O | amino-acid | product | fermentation | Leu
isoleucine | L-isoleucine | CC[C@H](C)[C@H](N)C(=O)O | amino-acid | product | fermentation | Ile
proline | L-proline | OC(=O)[C@@H]1CCCN1 | amino-acid | product | organocatalysis;collagen | Pro
phenylalanine | L-phenylalanine | N[C@@H](Cc1ccccc1)C(=O)O | amino-acid | product | aspartame;fermentation | Phe
tyrosine | L-tyrosine | N[C@@H](Cc1ccc(O)cc1)C(=O)O | amino-acid | intermediate | dopamine;melanin | Tyr
tryptophan | L-tryptophan | N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O | amino-acid | intermediate | serotonin;niacin | Trp
serine | L-serine | N[C@@H](CO)C(=O)O | amino-acid | product | biochemistry | Ser
threonine | L-threonine | C[C@@H](O)[C@H](N)C(=O)O | amino-acid | product | feed-additive | Thr
cysteine | L-cysteine | N[C@@H](CS)C(=O)O | amino-acid | product | keratin-hydrolysis;disulfides | Cys
cystine | L-cystine | N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O | amino-acid | product | disulfide-dimer | Cys-Cys
methionine | L-methionine | CSCC[C@H](N)C(=O)O | amino-acid | product | feed-additive;acrolein-route | Met
aspartic-acid | L-aspartic acid | N[C@@H](CC(=O)O)C(=O)O | amino-acid | product | aspartame;fermentation | Asp
glutamic-acid | L-glutamic acid | N[C@@H](CCC(=O)O)C(=O)O | amino-acid | product | msg;fermentation | Glu
asparagine | L-asparagine | NC(=O)C[C@H](N)C(=O)O | amino-acid | product | biochemistry;acrylamide-precursor | Asn
glutamine | L-glutamine | NC(=O)CC[C@H](N)C(=O)O | amino-acid | product | biochemistry | Gln
lysine | L-lysine | NCCCC[C@H](N)C(=O)O | amino-acid | product | feed-additive;fermentation | Lys
