# N. PHARMACEUTICALS, AGROCHEMICALS AND ENERGETIC MATERIALS
aspirin | acetylsalicylic acid | CC(=O)Oc1ccccc1C(=O)O | drug | product | acetylation-of-salicylic-acid | the reference synthesis
paracetamol | acetaminophen | CC(=O)Nc1ccc(O)cc1 | drug | product | 4-aminophenol-acetylation | analgesic
phenacetin | phenacetin | CCOc1ccc(NC(C)=O)cc1 | drug | product | historic-analgesic | withdrawn
ibuprofen | ibuprofen | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | drug | product | boots;hoechst-celanese | NSAID
naproxen | naproxen | COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1 | drug | product | nsaid | single enantiomer
diclofenac | diclofenac | OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl | drug | product | nsaid | phenylacetic acid
salicylamide | salicylamide | NC(=O)c1ccccc1O | drug | product | analgesic | amide of salicylic acid
antipyrine | phenazone | Cc1cc(=O)n(-c2ccccc2)n1C | drug | product | historic-analgesic | pyrazolone
aminopyrine | aminophenazone | CN(C)c1c(C)n(C)n(-c2ccccc2)c1=O | drug | product | historic-analgesic | pyrazolone
barbital | barbital | CCC1(CC)C(=O)NC(=O)NC1=O | drug | product | first-barbiturate | Veronal
phenobarbital | phenobarbital | CCC1(c2ccccc2)C(=O)NC(=O)NC1=O | drug | product | anticonvulsant | Luminal
chloral-hydrate | chloral hydrate | OC(O)C(Cl)(Cl)Cl | drug | product | sedative;historic | knockout drops
chloral | chloral | O=CC(Cl)(Cl)Cl | intermediate | intermediate | ddt;chloral-hydrate | trichloroacetaldehyde
procaine | procaine | CCN(CC)CCOC(=O)c1ccc(N)cc1 | drug | product | local-anaesthetic | Novocaine
lidocaine | lidocaine | CCN(CC)CC(=O)Nc1c(C)cccc1C | drug | product | local-anaesthetic | Xylocaine
benzocaine | benzocaine | CCOC(=O)c1ccc(N)cc1 | drug | product | local-anaesthetic | topical
salvarsan-marker | arsphenamine (monomer marker) | Nc1ccc([As]=[As]c2ccc(N)c(O)c2)cc1O | drug | product | ehrlich;first-chemotherapeutic | schematic monomer
prontosil | prontosil | Nc1ccc(/N=N/c2ccc(S(N)(=O)=O)cc2)c(N)c1 | drug | product | first-sulfa-drug | azo prodrug
isoniazid | isoniazid | NNC(=O)c1ccncc1 | drug | product | tuberculosis | INH
dapsone | dapsone | Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 | drug | product | leprosy | sulfone
chloroquine | chloroquine | CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12 | drug | product | antimalarial | 4-aminoquinoline
primaquine | primaquine | COc1cc2nccc(N[C@@H](C)CCCN)c2cc1 | drug | product | antimalarial | 8-aminoquinoline
artemisinin | artemisinin | C[C@@H]1CC[C@H]2[C@@H](C)[C@@H]3O[C@]4(C)CC[C@H]1[C@]2(OO3)O4 | drug | product | antimalarial;sweet-wormwood | endoperoxide
metformin | metformin | CN(C)C(=N)N=C(N)N | drug | product | diabetes;from-dicyandiamide | biguanide
warfarin | warfarin | CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O | drug | product | anticoagulant;rodenticide | coumarin derivative
dicoumarol | dicoumarol | O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O | drug | product | spoiled-sweet-clover | anticoagulant
diazepam | diazepam | CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O | drug | product | benzodiazepine | Valium
paracetamol-impurity | 4-aminophenol (see amines) | Nc1ccc(O)cc1 | intermediate | reference | paracetamol-impurity | cross-reference
omeprazole | omeprazole | COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1 | drug | product | proton-pump-inhibitor | prazole
cimetidine | cimetidine | CNC(=N/C#N)NCCSCc1nc[nH]c1C | drug | product | h2-antagonist | Tagamet
ranitidine | ranitidine | CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1 | drug | product | h2-antagonist | Zantac
salbutamol | salbutamol | CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1 | drug | product | bronchodilator | albuterol
propranolol | propranolol | CC(C)NC[C@H](O)COc1cccc2ccccc12 | drug | product | beta-blocker | first beta blocker
atenolol | atenolol | CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1 | drug | product | beta-blocker | cardioselective
captopril | captopril | C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O | drug | product | ace-inhibitor | from snake venom
simvastatin | simvastatin | CC[C@](C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]12 | drug | product | statin | cholesterol
ciprofloxacin | ciprofloxacin | OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O | drug | product | fluoroquinolone | antibiotic
trimethoprim | trimethoprim | COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC | drug | product | antibacterial | with sulfamethoxazole
