# P. REACTIVE INTERMEDIATES, RADICALS AND IONS
# These are the species that make a mechanism a mechanism. Many are transient by
# definition -- a coverage audit is EXPECTED to fail on some of them, and where it
# does the honest answer is "this species has no measured formation data anywhere",
# not "the estimator is missing a group".
hydronium | hydronium ion | [OH3+] | ion | intermediate | acid-catalysis;dissociation | the projects proton
hydroxide | hydroxide ion | [OH-] | ion | intermediate | base-catalysis;saponification | OH-
oxide-ion | oxide ion | [O-2] | ion | intermediate | lattice;melts | O2-
peroxide-ion | peroxide ion | [O-][O-] | ion | intermediate | peroxide-salts | O2 2-
superoxide-ion | superoxide radical anion | [O][O-] | radical-ion | transient | biology;autoxidation | O2 -.
hydroperoxide-ion | hydroperoxide ion | [O-]O | ion | intermediate | perhydrolysis;bleach-activation | HOO-
hydroperoxyl | hydroperoxyl radical | [O]O | radical | transient | autoxidation;atmospheric | HOO.
hydroxyl-radical | hydroxyl radical | [OH] | radical | transient | fenton;radiolysis;atmospheric | OH.
hydrogen-atom | hydrogen atom | [H] | radical | transient | radical-chain | H.
chlorine-atom | chlorine radical | [Cl] | radical | transient | radical-chlorination;ozone-depletion | Cl.
bromine-atom | bromine radical | [Br] | radical | transient | radical-bromination | Br.
methyl-radical | methyl radical | [CH3] | radical | transient | pyrolysis;radical-chain | CH3.
ethyl-radical | ethyl radical | C[CH2] | radical | transient | cracking;radical-chain | C2H5.
isopropyl-radical | isopropyl radical | C[CH]C | radical | transient | radical-chain | secondary radical
tert-butyl-radical | tert-butyl radical | C[C](C)C | radical | transient | radical-chain | tertiary radical
benzyl-radical | benzyl radical | [CH2]c1ccccc1 | radical | transient | side-chain-halogenation | resonance stabilised
phenyl-radical | phenyl radical | [c]1ccccc1 | radical | transient | gomberg-bachmann;arylation | aryl radical
allyl-radical | allyl radical | [CH2]C=C | radical | transient | allylic-halogenation | resonance stabilised
methoxy-radical | methoxy radical | C[O] | radical | transient | combustion;atmospheric | CH3O.
acetyl-radical | acetyl radical | C[C]=O | radical | transient | acyl-radical-chemistry | CH3CO.
cumyloxy-radical | cumyloxy radical | CC(C)([O])c1ccccc1 | radical | transient | cumene-process | beta-scission gives acetone
cumene-hydroperoxide | cumene hydroperoxide | CC(C)(OO)c1ccccc1 | peroxide | intermediate | cumene-process | the phenol/acetone precursor
tert-butyl-hydroperoxide | tert-butyl hydroperoxide | CC(C)(C)OO | peroxide | reagent | epoxidation;radical-initiator | TBHP
di-tert-butyl-peroxide | di-tert-butyl peroxide | CC(C)(C)OOC(C)(C)C | peroxide | reagent | radical-initiator | DTBP
benzoyl-peroxide | dibenzoyl peroxide | O=C(OOC(=O)c1ccccc1)c1ccccc1 | peroxide | reagent | radical-initiator;acne | BPO
peracetic-acid | peroxyacetic acid | CC(=O)OO | peroxy-acid | reagent | epoxidation;disinfection | PAA
performic-acid | peroxyformic acid | OOC=O | peroxy-acid | reagent | epoxidation | in-situ generated
perbenzoic-acid | peroxybenzoic acid | O=C(OO)c1ccccc1 | peroxy-acid | reagent | epoxidation;prilezhaev | PBA
mcpba | meta-chloroperoxybenzoic acid | O=C(OO)c1cccc(Cl)c1 | peroxy-acid | reagent | epoxidation;baeyer-villiger | mCPBA
aibn | azobisisobutyronitrile | CC(C)(C#N)/N=N/C(C)(C)C#N | initiator | reagent | radical-initiator | AIBN
potassium-persulfate | potassium persulfate | [K+].[K+].[O-]S(=O)(=O)OOS([O-])(=O)=O | initiator | reagent | emulsion-polymerisation | persulfate
methyl-cation | methyl carbocation | [CH3+] | ion | transient | sn1-model | not isolable
