# Q. ROUTE INTERMEDIATES -- every species that route_steps.psv needs and the earlier
# files did not already carry. These are the ISOLABLE (or at least well-defined)
# intermediates of the named routes. Nine genuinely non-molecular species stay as
# "-marker" ids in route_steps.psv and are listed at the bottom of this file; they
# are EXCLUDED from the coverage audit by tools/build_catalog.py rather than being
# given a fake graph.
2-nitrobenzaldehyde | 2-nitrobenzaldehyde | O=Cc1ccccc1[N+](=O)[O-] | aldehyde | intermediate | indigo-baeyer-drewson | side-chain oxidation product
4-acetamidobenzenesulfonyl-chloride | 4-acetamidobenzenesulfonyl chloride | CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1 | sulfonyl-halide | intermediate | sulfa-drug | chlorosulfonation product
4-acetamidobenzenesulfonamide | 4-acetamidobenzenesulfonamide | CC(=O)Nc1ccc(S(N)(=O)=O)cc1 | sulfonamide | intermediate | sulfa-drug | before deprotection
4-nitrophenetole | 4-nitrophenetole | CCOc1ccc([N+](=O)[O-])cc1 | ether | intermediate | phenacetin | Williamson product
ethanimine | ethanimine | CC=N | imine | transient | strecker | the Strecker imine
3-hydroxybutanal | 3-hydroxybutanal | CC(O)CC=O | aldehyde | intermediate | aldol | the aldol before dehydration
aluminium-hydroxide | aluminium hydroxide | [Al+3].[OH-].[OH-].[OH-] | mineral | intermediate | bayer-process | gibbsite
2-aminopropanenitrile | 2-aminopropanenitrile | CC(N)C#N | nitrile | intermediate | strecker | the aminonitrile
ammonium-bisulfate | ammonium bisulfate | [NH4+].OS([O-])(=O)=O | salt | byproduct | mma-ach | the MMA waste stream
ammonium-borate | ammonium borate | [NH4+].OB(O)[O-] | salt | product | kjeldahl | titration end species
ammonium-cyanate | ammonium cyanate | [NH4+].[O-]C#N | salt | intermediate | wohler-urea | the salt that became urea
anthraquinone-2-sulfonic-acid | anthraquinone-2-sulfonic acid | O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)O)ccc21 | sulfonic-acid | intermediate | alizarin | silver salt
benzoyl-azide | benzoyl azide | [N-]=[N+]=NC(=O)c1ccccc1 | azide | intermediate | curtius | rearranges on heating
bis-hydroxyethyl-terephthalate | bis(2-hydroxyethyl) terephthalate | OCCOC(=O)c1ccc(C(=O)OCCO)cc1 | ester | intermediate | pet | BHET
calcium-acetate | calcium acetate | [Ca+2].CC([O-])=O.CC([O-])=O | salt | byproduct | haloform;acetone-manufacture | grey acetate of lime
calcium-citrate | calcium citrate | [Ca+2].[Ca+2].[Ca+2].[O-]C(=O)CC(O)(CC([O-])=O)C([O-])=O.[O-]C(=O)CC(O)(CC([O-])=O)C([O-])=O | salt | intermediate | citric-acid | recovery salt
calcium-formate | calcium formate | [Ca+2].[O-]C=O.[O-]C=O | salt | byproduct | petn;cannizzaro | crossed Cannizzaro co-product
calcium-silicate | calcium silicate | [Ca+2].[O-][Si]([O-])=O | mineral | byproduct | blast-furnace;phosphorus | slag
chloroauric-acid | chloroauric acid | Cl[Au-](Cl)(Cl)Cl.[H+] | complex | product | aqua-regia | dissolved gold
cyanic-acid | cyanic acid | N=C=O | inorganic | transient | melamine;urea-pyrolysis | HNCO
norbornene-dicarboxylic-anhydride | bicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic anhydride | O=C1OC(=O)C2C1C1C=CC2C1 | anhydride | intermediate | diels-alder | the CPD-MA adduct
diacetone-ketogulonic-acid | diacetone-2-keto-L-gulonic acid | CC1(C)O[C@@H]2[C@H](O1)[C@@H]1OC(C)(C)O[C@@H]1C2=O | intermediate | intermediate | vitamin-c-reichstein | protected keto acid
diacetone-sorbose | diacetone-L-sorbose | CC1(C)O[C@@H]2CO[C@](C)(C)O[C@H]2[C@@H]1O | intermediate | intermediate | vitamin-c-reichstein | the acetonide
1,3-dichloro-2-propanol | 1,3-dichloro-2-propanol | OC(CCl)CCl | halohydrin | intermediate | epichlorohydrin | ECH precursor
hantzsch-dihydropyridine | diethyl 1,4-dihydro-2,4,6-trimethylpyridine-3,5-dicarboxylate | CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C | heterocycle | intermediate | hantzsch-pyridine | before aromatisation
methylenedianiline | 4,4-methylenedianiline | Nc1ccc(Cc2ccc(N)cc2)cc1 | amine | intermediate | mdi | MDA
ethyl-acetate-enolate | ethyl acetate enolate | CCOC(=O)[CH2-] | ion | transient | claisen | ester enolate
ethyl-2-ethylacetoacetate | ethyl 2-ethylacetoacetate | CCOC(=O)C(CC)C(C)=O | ester | intermediate | acetoacetic-ester-synthesis | alkylated ester
4-hydroxyphenylglycine | D-4-hydroxyphenylglycine | N[C@@H](c1ccc(O)cc1)C(=O)O | amino-acid | intermediate | amoxicillin | acylation partner
dimethylmethyleneiminium | dimethylmethyleneiminium | C[N+](C)=C | ion | intermediate | mannich | Eschenmoser cation
indoxyl | indoxyl | Oc1c[nH]c2ccccc12 | heterocycle | intermediate | indigo | dimerises in air to indigo
iodoform | triiodomethane | IC(I)I | haloalkane | product | iodoform-test;antiseptic | yellow crystals
isobornyl-acetate | isobornyl acetate | CC(=O)OC1CC2CCC1(C)C2(C)C | ester | intermediate | camphor | pine fragrance
isopulegol | isopulegol | CC1CCC(C(C)=C)C(O)C1 | alcohol | intermediate | menthol | ene-reaction product
leucomalachite-green | leucomalachite green | CN(C)c1ccc(C(c2ccccc2)c2ccc(N(C)C)cc2)cc1 | intermediate | intermediate | triarylmethane-dyes | colourless leuco base
phenylethanolate-magnesium-bromide | 1-phenylethanolate magnesium bromide | CC([O-])c1ccccc1.[Mg+2].[Br-] | organometallic | intermediate | grignard | pre-hydrolysis alkoxide
magnesium-hydroxide | magnesium hydroxide | [Mg+2].[OH-].[OH-] | salt | byproduct | grignard-workup;antacid | milk of magnesia
manganese-ii-chloride | manganese(II) chloride | [Mn+2].[Cl-].[Cl-] | salt | byproduct | weldon-chlorine | the spent Weldon liquor
4-dimethylamino-2-butanone | 4-dimethylamino-2-butanone | CN(C)CCC(C)=O | ketone | product | mannich | the Mannich base
methacrylamide-sulfate | methacrylamide sulfate | CC(=C)C(N)=O.OS(=O)(=O)O | intermediate | intermediate | mma-ach | the ACH amide stage
monomethylolurea | monomethylolurea | NC(=O)NCO | amide | intermediate | urea-formaldehyde | the resin precursor
methyltriphenylphosphonium-iodide | methyltriphenylphosphonium iodide | C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[I-] | salt | intermediate | wittig | ylide precursor
2,6-heptanedione | 2,6-heptanedione | CC(=O)CCCC(C)=O | ketone | intermediate | robinson-annulation | Michael adduct
n-benzylphthalimide | N-benzylphthalimide | O=C1N(Cc2ccccc2)C(=O)c2ccccc21 | heterocycle | intermediate | gabriel | alkylated imide
n-bromobenzamide | N-bromobenzamide | O=C(NBr)c1ccccc1 | amide | transient | hofmann-rearrangement | the N-halo amide
nylon-66-salt | nylon 66 salt | NCCCCCCN.OC(=O)CCCCC(=O)O | salt | intermediate | nylon-66 | the stoichiometry-fixing salt
p-phenetidine | 4-ethoxyaniline | CCOc1ccc(N)cc1 | amine | intermediate | phenacetin | reduced nitro ether
phenylacetic-acid | phenylacetic acid | OC(=O)Cc1ccccc1 | acid | feedstock | penicillin-g;fermentation | the side-chain precursor
n-phenylglycine | N-phenylglycine | OC(=O)CNc1ccccc1 | amino-acid | intermediate | indigo-heumann | before alkali fusion
butanone-phenylhydrazone | butan-2-one phenylhydrazone | CCC(C)=NNc1ccccc1 | hydrazone | intermediate | fischer-indole | rearranges on heating
phenylhydroxylamine | N-phenylhydroxylamine | ONc1ccccc1 | amine | intermediate | paracetamol;bamberger | partial nitro reduction
phthalhydrazide | phthalhydrazide | O=C1NNC(=O)c2ccccc21 | heterocycle | byproduct | gabriel;luminol | hydrazinolysis co-product
potassium-acetate | potassium acetate | [K+].CC([O-])=O | salt | byproduct | chrome-yellow;buffers | KOAc
potassium-bisulfate | potassium bisulfate | [K+].OS([O-])(=O)=O | salt | byproduct | nitric-acid-from-saltpetre | niter cake
diethyl-propylmalonate | diethyl propylmalonate | CCCC(C(=O)OCC)C(=O)OCC | ester | intermediate | malonic-ester-synthesis | alkylated malonate
propylmalonic-acid | propylmalonic acid | CCCC(C(=O)O)C(=O)O | acid | intermediate | malonic-ester-synthesis | decarboxylates on heating
silver-iodide | silver iodide | [Ag+].[I-] | salt | intermediate | photography | the emulsion grain
silver-thiosulfate-complex | sodium dithiosulfatoargentate | [Ag+].[O-]S([O-])(=O)=S.[O-]S([O-])(=O)=S.[Na+].[Na+].[Na+] | complex | product | photography-fixing | what the hypo bath removes
monosodium-glutamate | monosodium glutamate | [Na+].N[C@@H](CCC([O-])=O)C(=O)O | salt | product | msg;umami | MSG
sorbose | L-sorbose | OC[C@H]1O[C@](O)(CO)[C@H](O)[C@@H]1O | sugar | intermediate | vitamin-c-reichstein | microbial oxidation product
sulfanilamide-diazonium | sulfanilamide diazonium chloride | [Cl-].N#[N+]c1ccc(S(N)(=O)=O)cc1 | diazonium | intermediate | prontosil | coupling electrophile
toluenediamine | 2,4-toluenediamine | Cc1ccc(N)cc1N | amine | intermediate | tdi;polyurethane | TDA
triiodoacetone | 1,1,1-triiodoacetone | CC(=O)C(I)(I)I | halide | transient | iodoform-test | cleaved by hydroxide
