# DERIVED by tools/build_reachable.py -- do not hand-edit.
# Every pair of chargeable natural shelf rows, expanded to a fixpoint
# with all 67 'family' templates and a 400-species cap.
# a | b | species | reactions | stop | frontier
#
# A capped pair is a LOWER bound on its own reaction count, and the
# total is a lower bound on what a shelf holds: a reaction needing a
# third starting material is invisible to a sweep over pairs.
#! natural_rows = 37
#! pairs = 666
#! distinct_reactions = 23140
#! templates_fired = 37
#! capped_pairs = 271
#! inert_pairs = 347
#! crashed_pairs = 0
#! templates = 67
#! tier = family
#! silent_templates = alcohol_halide_substitution, aldofuranose_dehydration, alkene_hydrodimerisation, alkyne_hydration, allylic_ammoxidation, amide_methylolation, aromatic_nitration, cannizzaro_disproportionation, carbanion_alkylation, cyanide_imine_addition, hydroformylation_branched, hydroformylation_linear, hydroxymethylfurfural_rehydration, intramolecular_williamson, ketene_acid_addition, ketofuranose_dehydration, knoevenagel_doebner_condensation, kolbe_schmitt_carboxylation, methane_ammoxidation, mineral_oxyacid_dissociation, n_acylation, nitric_oxide_reoxidation, nitro_hydrogenation, perkin_condensation, skraup_cyclisation, steam_reforming, sulfur_dioxide_oxidation_by_nitrogen_dioxide, sulfur_trioxide_hydration, wacker_oxidation, williamson_ether_synthesis
# the ten busiest templates, distinct reactions each
# (a reverse counts toward its forward, as in templates_fired):
#    10270  ether_condensation
#     9238  fischer_esterification
#     2455  friedel_crafts_hydroxyalkylation
#      520  transesterification
#      316  alkene_hydration
#       66  alkene_dehydration
#       54  ester_hydrolysis
#       40  aerobic_oxidation
#       33  alkene_hydrogenation
#       30  carboxylic_acid_dissociation
#
alpha-pinene | aluminium-oxide | 9 | 0 | fixpoint | 0
alpha-pinene | calcium-carbonate | 9 | 0 | fixpoint | 0
alpha-pinene | calcium-fluoride | 10 | 0 | fixpoint | 0
alpha-pinene | calcium-phosphate | 10 | 0 | fixpoint | 0
alpha-pinene | calcium-sulfate | 10 | 0 | fixpoint | 0
alpha-pinene | carbon-dioxide | 9 | 0 | fixpoint | 0
alpha-pinene | carbon-graphite | 9 | 0 | fixpoint | 0
alpha-pinene | cellulose-unit | 400 | 737 | capped | 371
alpha-pinene | citronellal | 9 | 0 | fixpoint | 0
alpha-pinene | copper-sulfide | 9 | 0 | fixpoint | 0
alpha-pinene | eugenol | 9 | 0 | fixpoint | 0
alpha-pinene | glucose | 400 | 737 | capped | 371
alpha-pinene | gypsum | 41 | 79 | fixpoint | 0
alpha-pinene | indican | 400 | 480 | capped | 380
alpha-pinene | iron-ii-sulfate | 9 | 0 | fixpoint | 0
alpha-pinene | iron-ii-sulfide | 10 | 0 | fixpoint | 0
alpha-pinene | iron-iii-oxide | 8 | 0 | fixpoint | 0
alpha-pinene | lead-sulfide | 9 | 0 | fixpoint | 0
alpha-pinene | lignin-monomer-coniferyl | 400 | 580 | capped | 308
alpha-pinene | magnesium-carbonate | 10 | 0 | fixpoint | 0
alpha-pinene | mercury-sulfide | 9 | 0 | fixpoint | 0
alpha-pinene | nitrogen | 9 | 0 | fixpoint | 0
alpha-pinene | oleic-acid | 9 | 0 | fixpoint | 0
alpha-pinene | oxygen | 9 | 0 | fixpoint | 0
alpha-pinene | potassium-nitrate | 10 | 0 | fixpoint | 0
alpha-pinene | salicin | 400 | 630 | capped | 375
alpha-pinene | silver | 9 | 0 | fixpoint | 0
alpha-pinene | sodium-chloride | 10 | 0 | fixpoint | 0
alpha-pinene | sodium-nitrate | 10 | 0 | fixpoint | 0
alpha-pinene | starch-unit | 400 | 737 | capped | 371
alpha-pinene | sucrose | 400 | 402 | capped | 354
alpha-pinene | sulfur-s8 | 9 | 0 | fixpoint | 0
alpha-pinene | tannic-acid-core | 400 | 421 | capped | 373
alpha-pinene | triolein | 9 | 0 | fixpoint | 0
alpha-pinene | water | 39 | 79 | fixpoint | 0
alpha-pinene | zinc-sulfide | 9 | 0 | fixpoint | 0
aluminium-oxide | calcium-carbonate | 9 | 0 | fixpoint | 0
aluminium-oxide | calcium-fluoride | 10 | 0 | fixpoint | 0
aluminium-oxide | calcium-phosphate | 10 | 0 | fixpoint | 0
aluminium-oxide | calcium-sulfate | 10 | 0 | fixpoint | 0
aluminium-oxide | carbon-dioxide | 9 | 0 | fixpoint | 0
aluminium-oxide | carbon-graphite | 9 | 0 | fixpoint | 0
aluminium-oxide | cellulose-unit | 400 | 737 | capped | 371
aluminium-oxide | citronellal | 9 | 0 | fixpoint | 0
aluminium-oxide | copper-sulfide | 9 | 0 | fixpoint | 0
