# DERIVED by validation/catalog_coverage.py -- do not hand-edit.
# route_id | role | species (semicolon separated)
# role: feedstock (consumed, never made) | intermediate (both) |
#       product (made, never consumed) | catalyst (both sides of
#       one step). See tools/catalog.py for why this is derived.
lead-chamber | feedstock | oxygen;sulfur-s8
lead-chamber | intermediate | nitric-oxide;nitrogen-dioxide;sulfur-dioxide;sulfuric-acid;water
lead-chamber | product | nitrosylsulfuric-acid
contact-process | feedstock | oxygen;sulfur-s8;water
contact-process | intermediate | disulfuric-acid;sulfur-dioxide;sulfur-trioxide;sulfuric-acid
contact-process | catalyst | vanadium-pentoxide
vitriol-distillation | feedstock | iron-ii-sulfate;water
vitriol-distillation | intermediate | sulfur-trioxide
vitriol-distillation | product | iron-ii-oxide;sulfuric-acid
pyrite-roasting | feedstock | iron-disulfide;oxygen
pyrite-roasting | product | iron-iii-oxide;sulfur-dioxide
claus-process | feedstock | hydrogen-sulfide;oxygen
claus-process | intermediate | sulfur-dioxide
claus-process | product | sulfur-s8;water
leblanc-process | feedstock | carbon-graphite;sodium-chloride;sulfuric-acid
leblanc-process | intermediate | calcium-carbonate;calcium-sulfide;carbon-dioxide;sodium-sulfate
leblanc-process | product | hydrogen-chloride;hydrogen-sulfide
leblanc-process | catalyst | sodium-carbonate;water
solvay-process | feedstock | calcium-carbonate
solvay-process | intermediate | ammonia;ammonium-chloride;ammonium-hydroxide;calcium-hydroxide;calcium-oxide;carbon-dioxide;sodium-bicarbonate;water
solvay-process | product | calcium-chloride;sodium-carbonate
solvay-process | catalyst | sodium-chloride
chloralkali | feedstock | sodium-chloride;water
chloralkali | product | chlorine;hydrogen;sodium-hydroxide
lime-cycle | intermediate | calcium-carbonate;calcium-hydroxide;calcium-oxide;carbon-dioxide;water
haber-bosch | feedstock | hydrogen;nitrogen
haber-bosch | product | ammonia
haber-bosch | catalyst | iron
ostwald-process | feedstock | ammonia;oxygen
ostwald-process | intermediate | nitric-oxide;nitrogen-dioxide;water
ostwald-process | product | nitric-acid
ostwald-process | catalyst | platinum
birkeland-eyde | feedstock | nitrogen;oxygen;water
birkeland-eyde | intermediate | nitric-oxide;nitrogen-dioxide
birkeland-eyde | product | nitric-acid
saltpetre-nitric | feedstock | potassium-nitrate;sulfuric-acid
saltpetre-nitric | product | nitric-acid;potassium-bisulfate
aqua-regia | feedstock | gold;hydrogen-chloride;nitric-acid
aqua-regia | intermediate | chlorine
aqua-regia | product | chloroauric-acid;nitrosyl-chloride;water
frank-caro | feedstock | calcium-oxide;nitrogen;water
frank-caro | intermediate | calcium-carbide;calcium-cyanamide;carbon-graphite
frank-caro | product | ammonia;calcium-carbonate;carbon-monoxide
andrussow | feedstock | ammonia;methane;oxygen
andrussow | product | hydrogen-cyanide;water
andrussow | catalyst | platinum
deacon-process | feedstock | hydrogen-chloride;oxygen
deacon-process | product | chlorine;water
deacon-process | catalyst | copper-ii-oxide
weldon-chlorine | feedstock | hydrogen-chloride;manganese-dioxide
weldon-chlorine | product | chlorine;manganese-ii-chloride;water
bleaching-powder | feedstock | calcium-hydroxide;chlorine
bleaching-powder | product | calcium-chloride;calcium-hypochlorite;water
hypochlorite-bleach | feedstock | chlorine;sodium-hydroxide
hypochlorite-bleach | product | sodium-chloride;sodium-hypochlorite;water
phosphoric-wet | feedstock | calcium-phosphate;sulfuric-acid;water
phosphoric-wet | product | gypsum;phosphoric-acid
superphosphate | feedstock | calcium-phosphate;sulfuric-acid
superphosphate | product | calcium-sulfate;monocalcium-phosphate
white-phosphorus | feedstock | calcium-phosphate;carbon-graphite;silicon-dioxide
white-phosphorus | product | calcium-silicate;carbon-monoxide;phosphorus-white
match-chemistry | feedstock | phosphorus-white;potassium-chlorate
match-chemistry | product | phosphorus-pentoxide;potassium-chloride
bayer-process | intermediate | aluminium-hydroxide;aluminium-oxide;sodium-aluminate;sodium-hydroxide;water
hall-heroult | feedstock | aluminium-oxide;carbon-graphite
hall-heroult | product | aluminium;carbon-dioxide
hall-heroult | catalyst | cryolite
blast-furnace | feedstock | calcium-oxide;carbon-graphite;iron-iii-oxide;oxygen;silicon-dioxide
blast-furnace | intermediate | carbon-dioxide;carbon-monoxide;iron-ii-oxide
blast-furnace | product | calcium-silicate;iron
lead-smelting | feedstock | carbon-monoxide;lead-sulfide;oxygen
lead-smelting | intermediate | lead-ii-oxide
lead-smelting | product | carbon-dioxide;lead;sulfur-dioxide
copper-smelting | feedstock | carbon-monoxide;copper-sulfide;oxygen
copper-smelting | intermediate | copper-ii-oxide
copper-smelting | product | carbon-dioxide;copper;sulfur-dioxide
zinc-smelting | feedstock | carbon-graphite;oxygen;zinc-sulfide
zinc-smelting | intermediate | zinc-oxide
zinc-smelting | product | carbon-monoxide;sulfur-dioxide;zinc
mercury-from-cinnabar | feedstock | mercury-sulfide;oxygen
mercury-from-cinnabar | product | mercury;sulfur-dioxide
thermite | feedstock | aluminium;iron-iii-oxide
thermite | product | aluminium-oxide;iron
downs-cell | feedstock | sodium-chloride
downs-cell | product | chlorine;sodium
castner-kellner | feedstock | sodium-chloride;water
castner-kellner | intermediate | mercury;sodium-amalgam-marker
castner-kellner | product | chlorine;hydrogen;sodium-hydroxide
gunpowder | feedstock | carbon-graphite;potassium-nitrate;sulfur-s8
gunpowder | intermediate | gunpowder-marker
gunpowder | product | carbon-dioxide;carbon-monoxide;nitrogen;potassium-sulfate
nitroglycerin-route | feedstock | glycerol;nitric-acid
nitroglycerin-route | product | water
nitroglycerin-route | catalyst | nitroglycerin;sulfuric-acid
guncotton | feedstock | cellulose-unit;nitric-acid
guncotton | product | nitrocellulose-unit;water
guncotton | catalyst | sulfuric-acid
tnt-route | feedstock | disulfuric-acid;nitric-acid;toluene
tnt-route | intermediate | 2,4-dinitrotoluene;2-nitrotoluene
