# ROUTE STEPS -- pipe-separated. Columns:
#   route_id | step | name | reactants | products | conditions | reaction_class
# reactants/products: compound ids from data/catalog/compounds/, joined with " + ".
# A species that appears on BOTH sides of one step is a catalyst for that step.
# reaction_class is the transformation family; tools/build_catalog.py compares the
# distinct classes here against the templates in src/chemsim/reactions/library.py.
lead-chamber | 1 | sulfur combustion | sulfur-s8 + oxygen | sulfur-dioxide | burner, 600-1200 K | sulfur-combustion
lead-chamber | 2 | SO2 oxidation by NO2 | sulfur-dioxide + nitrogen-dioxide + water | sulfuric-acid + nitric-oxide | chamber, 330-370 K | redox-oxygen-transfer
lead-chamber | 3 | carrier regeneration | nitric-oxide + oxygen | nitrogen-dioxide | chamber, cold favoured | gas-phase-oxidation
lead-chamber | 4 | chamber crystal formation | nitrogen-dioxide + sulfur-dioxide + sulfuric-acid | nitrosylsulfuric-acid + water | water-starved chamber | nitrosation
contact-process | 1 | sulfur combustion | sulfur-s8 + oxygen | sulfur-dioxide | burner | sulfur-combustion
contact-process | 2 | catalytic SO2 oxidation | sulfur-dioxide + oxygen + vanadium-pentoxide | sulfur-trioxide + vanadium-pentoxide | 700-900 K, V2O5 | catalytic-gas-oxidation
contact-process | 3 | absorption into oleum | sulfur-trioxide + sulfuric-acid | disulfuric-acid | absorber, 98% acid | acid-anhydride-absorption
contact-process | 4 | oleum dilution | disulfuric-acid + water | sulfuric-acid | dilution | hydrolysis
vitriol-distillation | 1 | dehydration of green vitriol | iron-ii-sulfate | iron-ii-oxide + sulfur-trioxide | retort, red heat | sulfate-thermal-decomposition
vitriol-distillation | 2 | condensation to oil of vitriol | sulfur-trioxide + water | sulfuric-acid | receiver | hydrolysis
pyrite-roasting | 1 | pyrite roasting | iron-disulfide + oxygen | iron-iii-oxide + sulfur-dioxide | roaster, 1100 K | roasting
claus-process | 1 | partial combustion of H2S | hydrogen-sulfide + oxygen | sulfur-dioxide + water | thermal stage | hydrogen-sulfide-combustion
claus-process | 2 | Claus reaction | hydrogen-sulfide + sulfur-dioxide | sulfur-s8 + water | catalytic stage, alumina | comproportionation
leblanc-process | 1 | salt cake | sodium-chloride + sulfuric-acid | sodium-sulfate + hydrogen-chloride | 1100 K | salt-metathesis
leblanc-process | 2 | black ash | sodium-sulfate + carbon-graphite + calcium-carbonate | sodium-carbonate + calcium-sulfide + carbon-dioxide | reverberatory furnace | carbothermic-reduction
leblanc-process | 3 | lixiviation | sodium-carbonate + water | sodium-carbonate + water | leaching, crystallisation | dissolution
leblanc-process | 4 | galligu waste weathering | calcium-sulfide + water + carbon-dioxide | calcium-carbonate + hydrogen-sulfide | tip, open air | hydrolysis
solvay-process | 1 | brine ammoniation | sodium-chloride + ammonia + water | sodium-chloride + ammonium-hydroxide | absorber | carbonate-equilibrium
solvay-process | 2 | carbonation | ammonium-hydroxide + carbon-dioxide + sodium-chloride | sodium-bicarbonate + ammonium-chloride | Solvay tower, cold | precipitation-metathesis
solvay-process | 3 | bicarbonate calcination | sodium-bicarbonate | sodium-carbonate + carbon-dioxide + water | calciner, 450 K | bicarbonate-thermal-decomposition
solvay-process | 4 | ammonia recovery | ammonium-chloride + calcium-hydroxide | ammonia + calcium-chloride + water | still | proton-transfer
solvay-process | 5 | lime kiln for CO2 | calcium-carbonate | calcium-oxide + carbon-dioxide | kiln, 1200 K | calcination
solvay-process | 6 | lime slaking | calcium-oxide + water | calcium-hydroxide | slaker | lime-slaking
chloralkali | 1 | brine electrolysis | sodium-chloride + water | sodium-hydroxide + chlorine + hydrogen | membrane cell, 3 V | aqueous-electrolysis
lime-cycle | 1 | calcination | calcium-carbonate | calcium-oxide + carbon-dioxide | kiln, 1200 K | calcination
lime-cycle | 2 | slaking | calcium-oxide + water | calcium-hydroxide | exothermic | lime-slaking
lime-cycle | 3 | carbonation of mortar | calcium-hydroxide + carbon-dioxide | calcium-carbonate + water | months, ambient | solid-carbonation
haber-bosch | 1 | ammonia synthesis | nitrogen + hydrogen + iron | ammonia + iron | 700 K, 200 bar, promoted iron | catalytic-gas-synthesis
ostwald-process | 1 | ammonia oxidation | ammonia + oxygen + platinum | nitric-oxide + water + platinum | 1150 K, Pt-Rh gauze | catalytic-gas-oxidation
ostwald-process | 2 | NO oxidation | nitric-oxide + oxygen | nitrogen-dioxide | cooling train | gas-phase-oxidation
ostwald-process | 3 | absorption | nitrogen-dioxide + water | nitric-acid + nitric-oxide | absorption tower | disproportionation-hydrolysis
birkeland-eyde | 1 | arc nitrogen fixation | nitrogen + oxygen | nitric-oxide | electric arc, 3000 K | thermal-fixation
birkeland-eyde | 2 | NO oxidation | nitric-oxide + oxygen | nitrogen-dioxide | cooling | gas-phase-oxidation
birkeland-eyde | 3 | absorption | nitrogen-dioxide + water | nitric-acid + nitric-oxide | tower | disproportionation-hydrolysis
saltpetre-nitric | 1 | displacement and distillation | potassium-nitrate + sulfuric-acid | nitric-acid + potassium-bisulfate | retort, red heat | acid-displacement
aqua-regia | 1 | aqua regia formation | nitric-acid + hydrogen-chloride | nitrosyl-chloride + chlorine + water | 3:1 HCl:HNO3 | halide-oxidation
aqua-regia | 2 | gold dissolution | gold + chlorine + hydrogen-chloride | chloroauric-acid | ambient | oxidative-dissolution
frank-caro | 1 | carbide formation | calcium-oxide + carbon-graphite | calcium-carbide + carbon-monoxide | electric furnace, 2300 K | carbothermic-reduction
frank-caro | 2 | nitrogen fixation | calcium-carbide + nitrogen | calcium-cyanamide + carbon-graphite | 1300 K | gas-solid-fixation
frank-caro | 3 | hydrolysis to ammonia | calcium-cyanamide + water | ammonia + calcium-carbonate | steam | hydrolysis
andrussow | 1 | ammoxidation of methane | methane + ammonia + oxygen + platinum | hydrogen-cyanide + water + platinum | 1400 K, Pt gauze | ammoxidation
deacon-process | 1 | HCl reoxidation | hydrogen-chloride + oxygen + copper-ii-oxide | chlorine + water + copper-ii-oxide | 700 K, CuCl2 | catalytic-gas-oxidation
weldon-chlorine | 1 | pyrolusite oxidation of HCl | manganese-dioxide + hydrogen-chloride | chlorine + water + manganese-ii-chloride | warm | halide-oxidation
bleaching-powder | 1 | chlorination of lime | calcium-hydroxide + chlorine | calcium-hypochlorite + calcium-chloride + water | ambient | disproportionation
hypochlorite-bleach | 1 | chlorine into caustic | chlorine + sodium-hydroxide | sodium-hypochlorite + sodium-chloride + water | cold, dilute | disproportionation
phosphoric-wet | 1 | rock digestion | calcium-phosphate + sulfuric-acid + water | phosphoric-acid + gypsum | 350 K | acid-displacement-precipitating
superphosphate | 1 | rock acidulation | calcium-phosphate + sulfuric-acid | monocalcium-phosphate + calcium-sulfate | den, ambient | acid-displacement-precipitating
white-phosphorus | 1 | carbothermic reduction | calcium-phosphate + silicon-dioxide + carbon-graphite | phosphorus-white + carbon-monoxide + calcium-silicate | electric furnace, 1700 K | carbothermic-reduction
match-chemistry | 1 | match head ignition | potassium-chlorate + phosphorus-white | phosphorus-pentoxide + potassium-chloride | friction | chlorate-oxygen-transfer
bayer-process | 1 | bauxite digestion | aluminium-oxide + sodium-hydroxide + water | sodium-aluminate | 500 K, 5 bar | amphoteric-dissolution
bayer-process | 2 | precipitation of hydroxide | sodium-aluminate + water | aluminium-hydroxide + sodium-hydroxide | seeded, cooling | precipitation
bayer-process | 3 | calcination to alumina | aluminium-hydroxide | aluminium-oxide + water | 1300 K | calcination
hall-heroult | 1 | alumina electrolysis | aluminium-oxide + carbon-graphite + cryolite | aluminium + carbon-dioxide + cryolite | 1250 K, cryolite melt | molten-salt-electrolysis
blast-furnace | 1 | coke combustion | carbon-graphite + oxygen | carbon-dioxide | tuyere, 2200 K | carbon-combustion
blast-furnace | 2 | Boudouard reaction | carbon-dioxide + carbon-graphite | carbon-monoxide | 1200 K | boudouard
blast-furnace | 3 | indirect reduction | iron-iii-oxide + carbon-monoxide | iron-ii-oxide + carbon-dioxide | stack, 900 K | gas-solid-reduction
blast-furnace | 4 | final reduction | iron-ii-oxide + carbon-monoxide | iron + carbon-dioxide | bosh, 1300 K | gas-solid-reduction
blast-furnace | 5 | slag formation | calcium-oxide + silicon-dioxide | calcium-silicate | hearth | slagging
lead-smelting | 1 | galena roasting | lead-sulfide + oxygen | lead-ii-oxide + sulfur-dioxide | sinter plant | roasting
lead-smelting | 2 | oxide reduction | lead-ii-oxide + carbon-monoxide | lead + carbon-dioxide | blast furnace | gas-solid-reduction
copper-smelting | 1 | roasting | copper-sulfide + oxygen | copper-ii-oxide + sulfur-dioxide | roaster | roasting
copper-smelting | 2 | reduction to blister copper | copper-ii-oxide + carbon-monoxide | copper + carbon-dioxide | converter | gas-solid-reduction
zinc-smelting | 1 | sphalerite roasting | zinc-sulfide + oxygen | zinc-oxide + sulfur-dioxide | roaster | roasting
zinc-smelting | 2 | retort reduction | zinc-oxide + carbon-graphite | zinc + carbon-monoxide | retort, 1400 K | carbothermic-reduction
mercury-from-cinnabar | 1 | cinnabar roasting | mercury-sulfide + oxygen | mercury + sulfur-dioxide | retort, 900 K | roasting-to-metal
thermite | 1 | aluminothermic reduction | iron-iii-oxide + aluminium | iron + aluminium-oxide | ignition, 3000 K | metallothermic-reduction
downs-cell | 1 | molten salt electrolysis | sodium-chloride | sodium + chlorine | 900 K melt, CaCl2 flux | molten-salt-electrolysis
castner-kellner | 1 | amalgam formation | sodium-chloride + mercury | sodium-amalgam-marker + chlorine | mercury cathode | amalgam-electrolysis
castner-kellner | 2 | amalgam decomposition | sodium-amalgam-marker + water | sodium-hydroxide + hydrogen + mercury | denuder | hydrolysis
gunpowder | 1 | incorporation | potassium-nitrate + sulfur-s8 + carbon-graphite | gunpowder-marker | wet-milled 75:10:15, corned and dried | formulation
gunpowder | 2 | deflagration | gunpowder-marker | potassium-sulfate + nitrogen + carbon-dioxide + carbon-monoxide | ignition, self-oxidising | deflagration
nitroglycerin-route | 1 | glycerol nitration | glycerol + nitric-acid + sulfuric-acid | nitroglycerin + water + sulfuric-acid | 283 K, mixed acid, stirred | esterification-nitration
nitroglycerin-route | 2 | absorption into kieselguhr | nitroglycerin | nitroglycerin | Nobel dynamite | formulation
guncotton | 1 | cellulose nitration | cellulose-unit + nitric-acid + sulfuric-acid | nitrocellulose-unit + water + sulfuric-acid | 290 K, mixed acid | esterification-nitration
tnt-route | 1 | mononitration | toluene + nitric-acid + sulfuric-acid | 2-nitrotoluene + water + sulfuric-acid | 300 K | electrophilic-aromatic-nitration
tnt-route | 2 | dinitration | 2-nitrotoluene + nitric-acid + sulfuric-acid | 2,4-dinitrotoluene + water + sulfuric-acid | 340 K | electrophilic-aromatic-nitration
tnt-route | 3 | trinitration | 2,4-dinitrotoluene + nitric-acid + disulfuric-acid | tnt + water + sulfuric-acid | 390 K, oleum | electrophilic-aromatic-nitration
picric-acid-route | 1 | phenol sulfonation | phenol + sulfuric-acid | benzenesulfonic-acid + water | 370 K, protects the ring | electrophilic-aromatic-sulfonation
picric-acid-route | 2 | nitration and desulfonation | benzenesulfonic-acid + nitric-acid | picric-acid + water + sulfuric-acid | 380 K | ipso-nitrodesulfonation
rdx-route | 1 | hexamine formation | formaldehyde + ammonia | hexamethylenetetramine + water | aqueous, ambient | condensation
rdx-route | 2 | nitrolysis | hexamethylenetetramine + nitric-acid | rdx + formaldehyde + water | 290 K, 99% HNO3 | nitrolysis
petn-route | 1 | pentaerythritol from aldol | acetaldehyde + formaldehyde + calcium-hydroxide | pentaerythritol + calcium-formate | aldol then crossed Cannizzaro | aldol-cannizzaro
petn-route | 2 | nitration | pentaerythritol + nitric-acid | petn + water | 295 K, conc HNO3 | esterification-nitration
mercury-fulminate-route | 1 | fulminate formation | mercury + nitric-acid + ethanol | mercury-fulminate + water + nitric-oxide | Howard process | oxidative-nitrosation
coal-tar-distillation | 1 | tar fractionation | coal-tar-marker | benzene + toluene + o-xylene + phenol + naphthalene + anthracene + pyridine + quinoline + carbazole | fractional distillation | separation
coal-gas | 1 | destructive distillation | coal-marker | coal-tar-marker + methane + hydrogen + carbon-monoxide + ammonia + carbon-graphite | retort, 1300 K, no air | pyrolysis
benzene-nitration | 1 | nitronium generation | nitric-acid + sulfuric-acid | nitronium + bisulfate-ion + water | mixed acid | nitronium-generation
benzene-nitration | 2 | electrophilic attack | benzene + nitronium | arenium-benzene | 330 K | electrophilic-aromatic-substitution
benzene-nitration | 3 | proton loss | arenium-benzene + bisulfate-ion | nitrobenzene + sulfuric-acid | fast | arenium-deprotonation
aniline-route | 1 | Bechamp reduction | nitrobenzene + iron + hydrogen-chloride | aniline + iron-iii-oxide + water | boiling, iron filings | dissolving-metal-reduction
aniline-route | 2 | catalytic hydrogenation | nitrobenzene + hydrogen + copper | aniline + water + copper | 470 K, Cu on silica | nitro-hydrogenation
mauveine-route | 1 | oxidation of crude aniline | aniline + o-toluidine + p-toluidine + potassium-dichromate | mauveine-a + water | ambient, aqueous | oxidative-coupling
alizarin-route | 1 | anthracene oxidation | anthracene + potassium-dichromate | anthraquinone + water | sulfuric acid, warm | arene-oxidation-to-quinone
alizarin-route | 2 | sulfonation | anthraquinone + disulfuric-acid | anthraquinone-2-sulfonic-acid + water | oleum, 420 K | electrophilic-aromatic-sulfonation
alizarin-route | 3 | alkali fusion | anthraquinone-2-sulfonic-acid + sodium-hydroxide + potassium-nitrate | alizarin + sodium-sulfite | fusion, 470 K | alkali-fusion
indigo-baeyer-drewson | 1 | toluene nitration to ortho | toluene + nitric-acid + sulfuric-acid | 2-nitrotoluene + water + sulfuric-acid | mixed acid | electrophilic-aromatic-nitration
indigo-baeyer-drewson | 2 | side-chain oxidation | 2-nitrotoluene + manganese-dioxide | 2-nitrobenzaldehyde + water | oxidation | side-chain-oxidation
